2025-12-03 18:21:35,593 INFO Starting network monitor
2025-12-03 18:21:35,593 INFO Logging to logs/monitor.log
2025-12-03 18:21:35,593 INFO Database at data/monitor.db
2025-12-03 18:21:35,593 INFO Speedtests enabled every 1800 seconds
2025-12-03 18:21:35,624 INFO Starting network monitor loop
2025-12-03 19:09:35,709 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.3 ms
2025-12-03 19:09:35,740 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.4 ms
2025-12-03 19:10:05,712 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.6 ms
2025-12-03 19:10:05,740 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.0 ms
2025-12-03 19:10:35,711 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.7 ms
2025-12-03 19:10:35,747 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.6 ms
2025-12-03 19:11:05,710 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.8 ms
2025-12-03 19:11:05,738 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.9 ms
2025-12-03 19:11:35,743 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.5 ms
2025-12-03 19:11:35,769 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.1 ms
2025-12-03 19:12:05,710 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.2 ms
2025-12-03 19:12:05,738 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.7 ms
2025-12-03 19:12:35,708 INFO internet-google (eth0) reachable: 8.8.8.8, latency=17.7 ms
2025-12-03 19:12:35,736 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.1 ms
2025-12-03 19:13:05,712 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.5 ms
2025-12-03 19:13:05,738 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.4 ms
2025-12-03 19:13:35,712 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.1 ms
2025-12-03 19:13:35,739 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.3 ms
2025-12-03 19:14:05,714 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.9 ms
2025-12-03 19:14:05,747 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.0 ms
2025-12-03 19:14:35,716 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.4 ms
2025-12-03 19:14:35,746 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.5 ms
2025-12-03 19:15:05,713 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.8 ms
2025-12-03 19:15:05,741 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.2 ms
2025-12-03 19:15:35,712 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.3 ms
2025-12-03 19:15:35,744 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.7 ms
2025-12-03 19:16:05,720 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.8 ms
2025-12-03 19:16:05,751 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.4 ms
2025-12-03 19:16:35,715 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.7 ms
2025-12-03 19:16:35,745 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.9 ms
2025-12-03 19:17:05,718 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.9 ms
2025-12-03 19:17:05,747 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.6 ms
2025-12-03 19:17:35,712 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.3 ms
2025-12-03 19:17:35,739 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.6 ms
2025-12-03 19:18:05,718 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.4 ms
2025-12-03 19:18:05,749 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.7 ms
2025-12-03 19:18:35,716 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.1 ms
2025-12-03 19:18:35,746 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.0 ms
2025-12-03 19:19:05,718 INFO internet-google (eth0) reachable: 8.8.8.8, latency=20.2 ms
2025-12-03 19:19:05,750 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.3 ms
2025-12-03 19:19:35,717 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.7 ms
2025-12-03 19:19:35,747 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.8 ms
2025-12-03 19:20:05,717 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.8 ms
2025-12-03 19:20:05,747 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.5 ms
2025-12-03 19:20:35,713 INFO internet-google (eth0) reachable: 8.8.8.8, latency=17.2 ms
2025-12-03 19:20:35,745 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.4 ms
2025-12-03 19:21:05,721 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.7 ms
2025-12-03 19:21:05,754 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.9 ms
2025-12-03 19:21:35,723 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.6 ms
2025-12-03 19:21:35,756 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.6 ms
2025-12-03 19:21:42,139 WARNING Speedtest failed (speedtest): {"error":"Latency test failed"}
{"type":"log","timestamp":"2025-12-04T00:21:42Z","message":"Error: [101] Network unreachable","level":"error"}
2025-12-03 19:22:05,722 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.3 ms
2025-12-03 19:22:05,751 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.1 ms
2025-12-03 19:22:35,727 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.3 ms
2025-12-03 19:22:35,758 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.5 ms
2025-12-03 19:23:05,720 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.5 ms
2025-12-03 19:23:05,749 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.5 ms
2025-12-03 19:23:35,718 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.1 ms
2025-12-03 19:23:35,743 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.2 ms
